aqi,co,cosubindex,county,latitude,longitude,monitor_date,monitordate,no2,no2subindex,o3,o38subindex,o3subindex,pm10,pm10subindex,pm25subindex,pm2_5,site_name,siteid,sitename,so2,so2subindex,status
85,,6,,,,,2026-03-28,,40,,,,,64,85,,,140,林森,,12,
91,,3,,,,,2026-03-28,,31,,87,,,62,91,,,139,員林,,31,
84,,8,,,,,2026-03-28,,53,,,,,61,84,,,88,臺灣大道,,6,
87,,3,,,,,2026-03-28,,24,,87,,,60,63,,,85,大城,,25,
101,,1,,,,,2026-03-28,,5,,101,,,61,65,,,84,富貴角,,0,
69,,3,,,,,2026-03-28,,21,,,,,62,69,,,83,麥寮,,19,
39,,2,,,,,2026-03-28,,14,,37,,,22,39,,,80,關山,,0,
71,,1,,,,,2026-03-28,,7,,71,,,53,64,,,78,馬公,,0,
71,,3,,,,,2026-03-28,,26,,71,,,43,70,,,77,金門,,6,
93,,2,,,,,2026-03-28,,17,,93,,,53,63,,,75,馬祖,,0,
86,,3,,,,,2026-03-28,,17,,51,,,60,86,,,72,埔里,,6,
85,,6,,,,,2026-03-28,,45,,,,,64,85,,,71,復興,,12,
52,,5,,,,,2026-03-28,,40,,,,,45,52,,,70,永和,,6,
111,,3,,,,,2026-03-28,,36,,77,,,73,111,,,69,竹山,,12,
72,,7,,,,,2026-03-28,,57,,,,,64,72,,,68,中壢,,6,
62,,10,,,,,2026-03-28,,62,,,,,50,56,,,67,三重,,12,
46,,2,,,,,2026-03-28,,21,,45,,,33,46,,,66,冬山,,0,
44,,2,,,,,2026-03-28,,17,,44,,,27,40,,,65,宜蘭,,6,
67,,2,,,,,2026-03-28,,5,,67,,,10,6,,,64,陽明,,6,
54,,3,,,,,2026-03-28,,26,,54,,,32,41,,,63,花蓮,,6,
46,,2,,,,,2026-03-28,,17,,46,,,27,44,,,62,臺東,,6,
49,,2,,,,,2026-03-28,,0,,49,,,22,31,,,61,恆春,,0,
77,,3,,,,,2026-03-28,,43,,77,,,59,75,,,60,潮州,,19,
81,,5,,,,,2026-03-28,,29,,61,,,62,81,,,59,屏東,,31,
87,,5,,,,,2026-03-28,,53,,54,,,64,87,,,58,小港,,25,
81,,5,,,,,2026-03-28,,48,,,,,63,81,,,57,前鎮,,12,
78,,5,,,,,2026-03-28,,36,,64,,,64,78,,,56,前金,,6,
84,,5,,,,,2026-03-28,,40,,71,,,64,84,,,54,左營,,12,
83,,3,,,,,2026-03-28,,38,,67,,,67,83,,,53,楠梓,,6,
87,,5,,,,,2026-03-28,,33,,71,,,68,87,,,52,林園,,31,
93,,6,,,,,2026-03-28,,43,,50,,,69,93,,,51,大寮,,52,
88,,6,,,,,2026-03-28,,51,,,,,62,88,,,50,鳳山,,38,
93,,5,,,,,2026-03-28,,50,,74,,,65,93,,,49,仁武,,19,
90,,3,,,,,2026-03-28,,40,,58,,,67,90,,,48,橋頭,,12,
84,,5,,,,,2026-03-28,,17,,84,,,59,76,,,47,美濃,,25,
76,,3,,,,,2026-03-28,,33,,64,,,63,76,,,46,臺南,,12,
83,,3,,,,,2026-03-28,,26,,64,,,63,83,,,45,安南,,12,
83,,3,,,,,2026-03-28,,31,,71,,,68,83,,,44,善化,,25,
80,,3,,,,,2026-03-28,,24,,64,,,65,80,,,43,新營,,12,
97,,3,,,,,2026-03-28,,29,,54,,,70,97,,,42,嘉義,,19,
60,,2,,,,,2026-03-28,,17,,,,,57,60,,,41,臺西,,12,
80,,3,,,,,2026-03-28,,26,,80,,,64,79,,,40,朴子,,19,
81,,3,,,,,2026-03-28,,19,,67,,,67,81,,,39,新港,,12,
82,,5,,,,,2026-03-28,,26,,67,,,69,82,,,38,崙背,,12,
108,,3,,,,,2026-03-28,,31,,93,,,78,108,,,37,斗六,,19,
98,,3,,,,,2026-03-28,,36,,87,,,64,98,,,36,南投,,19,
81,,5,,,,,2026-03-28,,29,,77,,,72,81,,,35,二林,,25,
68,,3,,,,,2026-03-28,,38,,,,,59,68,,,34,線西,,19,
79,,3,,,,,2026-03-28,,38,,71,,,60,79,,,33,彰化,,25,
72,,3,,,,,2026-03-28,,45,,64,,,60,72,,,32,西屯,,12,
74,,3,,,,,2026-03-28,,38,,71,,,60,74,,,31,忠明,,6,
87,,3,,,,,2026-03-28,,33,,64,,,65,87,,,30,大里,,12,
75,,2,,,,,2026-03-28,,21,,64,,,63,75,,,29,沙鹿,,6,
77,,3,,,,,2026-03-28,,36,,61,,,58,77,,,28,豐原,,38,
59,,3,,,,,2026-03-28,,17,,45,,,45,59,,,27,三義,,0,
65,,2,,,,,2026-03-28,,26,,47,,,53,65,,,26,苗栗,,19,
66,,3,,,,,2026-03-28,,36,,,,,64,66,,,25,頭份,,12,
64,,3,,,,,2026-03-28,,33,,49,,,62,64,,,24,新竹,,6,
49,,3,,,,,2026-03-28,,38,,41,,,33,49,,,23,竹東,,0,
61,,2,,,,,2026-03-28,,24,,51,,,58,61,,,22,湖口,,6,
60,,3,,,,,2026-03-28,,38,,44,,,48,60,,,21,龍潭,,6,
64,,3,,,,,2026-03-28,,48,,44,,,62,64,,,20,平鎮,,0,
74,,2,,,,,2026-03-28,,17,,74,,,50,60,,,19,觀音,,6,
64,,2,,,,,2026-03-28,,53,,64,,,59,58,,,18,大園,,12,
49,,3,,,,,2026-03-28,,43,,49,,,38,45,,,17,桃園,,6,
64,,10,,,,,2026-03-28,,64,,,,,38,55,,,16,大同,,6,
51,,3,,,,,2026-03-28,,51,,38,,,40,49,,,15,松山,,12,
44,,3,,,,,2026-03-28,,38,,44,,,38,41,,,14,古亭,,12,
51,,5,,,,,2026-03-28,,51,,42,,,37,51,,,13,萬華,,12,
56,,5,,,,,2026-03-28,,52,,39,,,45,56,,,12,中山,,6,
50,,3,,,,,2026-03-28,,26,,50,,,37,37,,,11,士林,,6,
51,,3,,,,,2026-03-28,,21,,46,,,42,51,,,10,淡水,,6,
53,,2,,,,,2026-03-28,,24,,44,,,45,53,,,9,林口,,6,
48,,5,,,,,2026-03-28,,48,,45,,,40,44,,,8,菜寮,,6,
56,,3,,,,,2026-03-28,,56,,48,,,48,52,,,7,新莊,,6,
54,,5,,,,,2026-03-28,,48,,46,,,40,54,,,6,板橋,,12,
47,,3,,,,,2026-03-28,,31,,47,,,38,39,,,5,土城,,6,
49,,3,,,,,2026-03-28,,38,,44,,,33,49,,,4,新店,,6,
59,,5,,,,,2026-03-28,,59,,37,,,35,54,,,2,汐止,,6,
68,,6,,,,,2026-03-28,,68,,46,,,35,52,,,1,基隆,,12,
74,,7,,,,,2026-03-27,,52,,,,,65,74,,,140,林森,,12,
65,,3,,,,,2026-03-27,,36,,48,,,52,65,,,139,員林,,31,
76,,9,,,,,2026-03-27,,61,,,,,58,76,,,88,臺灣大道,,12,
74,,2,,,,,2026-03-27,,17,,74,,,50,50,,,85,大城,,12,
74,,1,,,,,2026-03-27,,7,,74,,,30,33,,,84,富貴角,,0,
59,,2,,,,,2026-03-27,,17,,,,,51,59,,,83,麥寮,,12,
40,,2,,,,,2026-03-27,,10,,40,,,15,25,,,80,關山,,0,
58,,2,,,,,2026-03-27,,7,,58,,,43,53,,,78,馬公,,0,
77,,5,,,,,2026-03-27,,26,,77,,,48,76,,,77,金門,,12,
77,,2,,,,,2026-03-27,,17,,77,,,40,57,,,75,馬祖,,19,
62,,3,,,,,2026-03-27,,24,,49,,,43,62,,,72,埔里,,6,
63,,5,,,,,2026-03-27,,52,,,,,54,63,,,71,復興,,6,
62,,10,,,,,2026-03-27,,62,,,,,32,51,,,70,永和,,0,
74,,3,,,,,2026-03-27,,36,,74,,,54,70,,,69,竹山,,19,
64,,7,,,,,2026-03-27,,64,,,,,40,59,,,68,中壢,,6,
68,,11,,,,,2026-03-27,,68,,,,,38,54,,,67,三重,,6,
44,,2,,,,,2026-03-27,,29,,44,,,30,39,,,66,冬山,,6,
38,,2,,,,,2026-03-27,,33,,38,,,23,34,,,65,宜蘭,,0,
44,,2,,,,,2026-03-27,,19,,44,,,10,9,,,64,陽明,,6,
48,,3,,,,,2026-03-27,,31,,48,,,20,21,,,63,花蓮,,19,
46,,2,,,,,2026-03-27,,14,,46,,,17,25,,,62,臺東,,0,
71,,2,,,,,2026-03-27,,7,,71,,,30,38,,,61,恆春,,6,
77,,2,,,,,2026-03-27,,29,,77,,,59,63,,,60,潮州,,6,
80,,3,,,,,2026-03-27,,26,,80,,,59,70,,,59,屏東,,6,
67,,3,,,,,2026-03-27,,51,,46,,,55,67,,,58,小港,,12,
62,,5,,,,,2026-03-27,,48,,,,,62,61,,,57,前鎮,,6,
62,,3,,,,,2026-03-27,,43,,49,,,59,62,,,56,前金,,6,
67,,5,,,,,2026-03-27,,45,,50,,,63,67,,,54,左營,,12,
71,,3,,,,,2026-03-27,,53,,54,,,69,71,,,53,楠梓,,6,
67,,3,,,,,2026-03-27,,36,,44,,,61,67,,,52,林園,,19,
78,,3,,,,,2026-03-27,,40,,64,,,67,78,,,51,大寮,,38,
72,,6,,,,,2026-03-27,,51,,,,,59,72,,,50,鳳山,,6,
75,,3,,,,,2026-03-27,,53,,48,,,61,75,,,49,仁武,,19,
77,,3,,,,,2026-03-27,,40,,48,,,62,77,,,48,橋頭,,12,
64,,3,,,,,2026-03-27,,17,,64,,,45,61,,,47,美濃,,6,
67,,3,,,,,2026-03-27,,52,,48,,,63,67,,,46,臺南,,12,
73,,5,,,,,2026-03-27,,48,,49,,,70,73,,,45,安南,,12,
66,,3,,,,,2026-03-27,,29,,58,,,64,66,,,44,善化,,31,
69,,3,,,,,2026-03-27,,29,,51,,,68,69,,,43,新營,,12,
72,,3,,,,,2026-03-27,,29,,46,,,62,72,,,42,嘉義,,19,
50,,2,,,,,2026-03-27,,19,,,,,50,47,,,41,臺西,,12,
67,,3,,,,,2026-03-27,,19,,67,,,61,65,,,40,朴子,,19,
64,,3,,,,,2026-03-27,,29,,51,,,60,64,,,39,新港,,12,
62,,2,,,,,2026-03-27,,17,,50,,,58,62,,,38,崙背,,19,
74,,2,,,,,2026-03-27,,31,,74,,,64,73,,,37,斗六,,25,
72,,3,,,,,2026-03-27,,33,,51,,,53,72,,,36,南投,,6,
67,,3,,,,,2026-03-27,,29,,51,,,67,59,,,35,二林,,12,
52,,2,,,,,2026-03-27,,31,,,,,50,52,,,34,線西,,31,
61,,3,,,,,2026-03-27,,48,,45,,,52,61,,,33,彰化,,31,
59,,3,,,,,2026-03-27,,50,,47,,,53,59,,,32,西屯,,6,
62,,3,,,,,2026-03-27,,40,,44,,,53,62,,,31,忠明,,12,
66,,5,,,,,2026-03-27,,40,,44,,,59,66,,,30,大里,,12,
60,,2,,,,,2026-03-27,,33,,50,,,53,60,,,29,沙鹿,,6,
61,,3,,,,,2026-03-27,,43,,46,,,42,61,,,28,豐原,,19,
52,,2,,,,,2026-03-27,,31,,38,,,37,52,,,27,三義,,6,
58,,3,,,,,2026-03-27,,45,,37,,,42,58,,,26,苗栗,,12,
56,,3,,,,,2026-03-27,,52,,,,,45,56,,,25,頭份,,6,
52,,3,,,,,2026-03-27,,52,,44,,,33,44,,,24,新竹,,6,
52,,2,,,,,2026-03-27,,52,,27,,,27,52,,,23,竹東,,6,
44,,2,,,,,2026-03-27,,31,,44,,,25,36,,,22,湖口,,6,
59,,3,,,,,2026-03-27,,53,,35,,,40,59,,,21,龍潭,,0,
54,,5,,,,,2026-03-27,,54,,34,,,35,50,,,20,平鎮,,0,
49,,2,,,,,2026-03-27,,40,,49,,,18,29,,,19,觀音,,0,
58,,2,,,,,2026-03-27,,58,,44,,,22,30,,,18,大園,,6,
56,,5,,,,,2026-03-27,,56,,37,,,28,47,,,17,桃園,,0,
67,,11,,,,,2026-03-27,,67,,,,,23,50,,,16,大同,,6,
62,,5,,,,,2026-03-27,,62,,27,,,27,46,,,15,松山,,12,
59,,5,,,,,2026-03-27,,59,,36,,,27,42,,,14,古亭,,6,
58,,6,,,,,2026-03-27,,58,,28,,,25,46,,,13,萬華,,6,
60,,7,,,,,2026-03-27,,60,,27,,,33,52,,,12,中山,,6,
53,,3,,,,,2026-03-27,,53,,31,,,30,43,,,11,士林,,6,
43,,2,,,,,2026-03-27,,31,,43,,,18,33,,,10,淡水,,6,
52,,2,,,,,2026-03-27,,52,,43,,,18,30,,,9,林口,,12,
60,,5,,,,,2026-03-27,,60,,37,,,30,42,,,8,菜寮,,0,
60,,3,,,,,2026-03-27,,60,,36,,,38,47,,,7,新莊,,0,
60,,5,,,,,2026-03-27,,60,,31,,,27,48,,,6,板橋,,6,
62,,5,,,,,2026-03-27,,62,,32,,,33,40,,,5,土城,,0,
57,,5,,,,,2026-03-27,,57,,34,,,30,54,,,4,新店,,6,
57,,3,,,,,2026-03-27,,57,,31,,,22,41,,,2,汐止,,0,
51,,3,,,,,2026-03-27,,51,,44,,,18,37,,,1,基隆,,6,
80,,6,,,,,2026-03-26,,50,,,,,67,80,,,140,林森,,12,
100,,5,,,,,2026-03-26,,48,,100,,,63,80,,,139,員林,,19,
81,,10,,,,,2026-03-26,,60,,,,,62,81,,,88,臺灣大道,,12,
97,,5,,,,,2026-03-26,,31,,97,,,62,66,,,85,大城,,19,
77,,1,,,,,2026-03-26,,5,,77,,,47,48,,,84,富貴角,,0,
66,,5,,,,,2026-03-26,,33,,,,,64,66,,,83,麥寮,,19,
41,,3,,,,,2026-03-26,,12,,41,,,5,17,,,80,關山,,6,
80,,2,,,,,2026-03-26,,10,,80,,,55,62,,,78,馬公,,0,
93,,3,,,,,2026-03-26,,24,,93,,,52,70,,,77,金門,,12,
84,,3,,,,,2026-03-26,,33,,84,,,54,75,,,75,馬祖,,6,
72,,3,,,,,2026-03-26,,24,,58,,,52,72,,,72,埔里,,6,
66,,5,,,,,2026-03-26,,40,,,,,64,66,,,71,復興,,12,
54,,5,,,,,2026-03-26,,51,,,,,47,54,,,70,永和,,6,
101,,3,,,,,2026-03-26,,36,,101,,,68,88,,,69,竹山,,19,
65,,10,,,,,2026-03-26,,65,,,,,55,60,,,68,中壢,,6,
65,,9,,,,,2026-03-26,,65,,,,,52,56,,,67,三重,,6,
58,,2,,,,,2026-03-26,,24,,50,,,54,58,,,66,冬山,,12,
64,,2,,,,,2026-03-26,,14,,64,,,47,52,,,65,宜蘭,,6,
61,,2,,,,,2026-03-26,,14,,61,,,37,42,,,64,陽明,,19,
47,,3,,,,,2026-03-26,,26,,47,,,38,44,,,63,花蓮,,6,
38,,3,,,,,2026-03-26,,24,,38,,,13,20,,,62,臺東,,6,
50,,2,,,,,2026-03-26,,5,,50,,,20,23,,,61,恆春,,6,
80,,3,,,,,2026-03-26,,19,,80,,,55,60,,,60,潮州,,6,
97,,3,,,,,2026-03-26,,26,,97,,,59,67,,,59,屏東,,12,
80,,3,,,,,2026-03-26,,53,,80,,,61,63,,,58,小港,,12,
63,,5,,,,,2026-03-26,,31,,,,,63,62,,,57,前鎮,,6,
97,,3,,,,,2026-03-26,,31,,97,,,59,59,,,56,前金,,6,
100,,5,,,,,2026-03-26,,38,,100,,,61,66,,,54,左營,,6,
84,,5,,,,,2026-03-26,,57,,84,,,73,77,,,53,楠梓,,12,
74,,3,,,,,2026-03-26,,19,,74,,,52,59,,,52,林園,,6,
71,,6,,,,,2026-03-26,,52,,61,,,63,71,,,51,大寮,,44,
66,,6,,,,,2026-03-26,,50,,,,,57,66,,,50,鳳山,,12,
97,,5,,,,,2026-03-26,,50,,97,,,62,73,,,49,仁武,,12,
83,,5,,,,,2026-03-26,,52,,74,,,69,83,,,48,橋頭,,12,
97,,3,,,,,2026-03-26,,21,,97,,,61,71,,,47,美濃,,12,
73,,5,,,,,2026-03-26,,51,,48,,,69,73,,,46,臺南,,12,
76,,5,,,,,2026-03-26,,43,,74,,,72,76,,,45,安南,,12,
74,,5,,,,,2026-03-26,,38,,74,,,64,72,,,44,善化,,12,
72,,6,,,,,2026-03-26,,40,,67,,,71,72,,,43,新營,,19,
90,,6,,,,,2026-03-26,,40,,61,,,74,90,,,42,嘉義,,19,
65,,3,,,,,2026-03-26,,38,,,,,61,65,,,41,臺西,,25,
80,,5,,,,,2026-03-26,,31,,80,,,65,76,,,40,朴子,,19,
85,,6,,,,,2026-03-26,,31,,77,,,77,85,,,39,新港,,19,
90,,7,,,,,2026-03-26,,38,,90,,,74,83,,,38,崙背,,19,
100,,5,,,,,2026-03-26,,40,,100,,,76,93,,,37,斗六,,19,
90,,5,,,,,2026-03-26,,38,,90,,,59,77,,,36,南投,,6,
90,,7,,,,,2026-03-26,,38,,90,,,83,78,,,35,二林,,51,
64,,5,,,,,2026-03-26,,51,,,,,60,64,,,34,線西,,51,
87,,6,,,,,2026-03-26,,52,,87,,,58,71,,,33,彰化,,12,
93,,5,,,,,2026-03-26,,53,,93,,,60,68,,,32,西屯,,19,
80,,6,,,,,2026-03-26,,54,,80,,,62,70,,,31,忠明,,19,
77,,5,,,,,2026-03-26,,45,,77,,,67,76,,,30,大里,,12,
97,,5,,,,,2026-03-26,,50,,97,,,61,68,,,29,沙鹿,,31,
112,,5,,,,,2026-03-26,,40,,112,,,54,70,,,28,豐原,,12,
104,,3,,,,,2026-03-26,,31,,104,,,52,62,,,27,三義,,19,
87,,3,,,,,2026-03-26,,31,,87,,,43,52,,,26,苗栗,,38,
53,,3,,,,,2026-03-26,,38,,,,,53,53,,,25,頭份,,6,
71,,3,,,,,2026-03-26,,43,,71,,,52,52,,,24,新竹,,6,
71,,3,,,,,2026-03-26,,33,,71,,,43,59,,,23,竹東,,6,
64,,2,,,,,2026-03-26,,29,,64,,,52,52,,,22,湖口,,12,
60,,3,,,,,2026-03-26,,54,,44,,,51,60,,,21,龍潭,,6,
56,,5,,,,,2026-03-26,,52,,47,,,53,56,,,20,平鎮,,0,
61,,2,,,,,2026-03-26,,33,,61,,,45,50,,,19,觀音,,12,
60,,2,,,,,2026-03-26,,60,,47,,,51,55,,,18,大園,,12,
52,,5,,,,,2026-03-26,,52,,48,,,47,46,,,17,桃園,,6,
63,,8,,,,,2026-03-26,,63,,,,,40,50,,,16,大同,,6,
55,,2,,,,,2026-03-26,,55,,42,,,48,49,,,15,松山,,12,
47,,2,,,,,2026-03-26,,43,,47,,,43,44,,,14,古亭,,6,
52,,3,,,,,2026-03-26,,52,,44,,,42,48,,,13,萬華,,12,
55,,3,,,,,2026-03-26,,52,,42,,,51,55,,,12,中山,,6,
51,,2,,,,,2026-03-26,,33,,51,,,48,46,,,11,士林,,25,
65,,3,,,,,2026-03-26,,40,,46,,,65,54,,,10,淡水,,19,
47,,3,,,,,2026-03-26,,38,,47,,,47,46,,,9,林口,,19,
48,,3,,,,,2026-03-26,,43,,48,,,42,47,,,8,菜寮,,12,
57,,3,,,,,2026-03-26,,52,,49,,,57,53,,,7,新莊,,6,
52,,5,,,,,2026-03-26,,52,,47,,,43,49,,,6,板橋,,6,
47,,3,,,,,2026-03-26,,43,,47,,,47,42,,,5,土城,,0,
52,,2,,,,,2026-03-26,,38,,46,,,45,52,,,4,新店,,6,
55,,2,,,,,2026-03-26,,55,,47,,,40,42,,,2,汐止,,6,
56,,3,,,,,2026-03-26,,56,,51,,,32,38,,,1,基隆,,6,
84,,6,,,,,2026-03-25,,52,,,,,68,84,,,140,林森,,12,
78,,5,,,,,2026-03-25,,45,,64,,,61,78,,,139,員林,,25,
79,,9,,,,,2026-03-25,,57,,,,,60,79,,,88,臺灣大道,,6,
98,,3,,,,,2026-03-25,,26,,67,,,72,98,,,85,大城,,6,
77,,2,,,,,2026-03-25,,31,,77,,,37,55,,,84,富貴角,,6,
96,,3,,,,,2026-03-25,,29,,,,,76,96,,,83,麥寮,,6,
39,,2,,,,,2026-03-25,,10,,39,,,18,32,,,80,關山,,0,
64,,2,,,,,2026-03-25,,12,,64,,,33,55,,,78,馬公,,6,
114,,3,,,,,2026-03-25,,48,,104,,,,114,,,77,金門,,19,
90,,6,,,,,2026-03-25,,24,,90,,,40,67,,,75,馬祖,,6,
86,,3,,,,,2026-03-25,,21,,61,,,60,86,,,72,埔里,,6,
78,,5,,,,,2026-03-25,,50,,,,,62,78,,,71,復興,,12,
76,,11,,,,,2026-03-25,,59,,,,,55,76,,,70,永和,,12,
97,,3,,,,,2026-03-25,,36,,97,,,60,81,,,69,竹山,,12,
85,,9,,,,,2026-03-25,,63,,,,,62,85,,,68,中壢,,12,
71,,9,,,,,2026-03-25,,59,,,,,52,71,,,67,三重,,19,
58,,3,,,,,2026-03-25,,29,,47,,,48,58,,,66,冬山,,0,
53,,3,,,,,2026-03-25,,17,,46,,,37,53,,,65,宜蘭,,6,
43,,3,,,,,2026-03-25,,7,,43,,,25,31,,,64,陽明,,6,
46,,3,,,,,2026-03-25,,14,,46,,,32,42,,,63,花蓮,,6,
46,,2,,,,,2026-03-25,,10,,46,,,27,40,,,62,臺東,,0,
50,,1,,,,,2026-03-25,,12,,50,,,33,48,,,61,恆春,,12,
84,,3,,,,,2026-03-25,,31,,84,,,64,72,,,60,潮州,,19,
75,,3,,,,,2026-03-25,,31,,67,,,64,75,,,59,屏東,,12,
77,,3,,,,,2026-03-25,,68,,44,,,63,77,,,58,小港,,25,
75,,3,,,,,2026-03-25,,48,,,,,62,75,,,57,前鎮,,6,
72,,3,,,,,2026-03-25,,40,,54,,,64,72,,,56,前金,,6,
76,,5,,,,,2026-03-25,,38,,48,,,65,76,,,54,左營,,6,
82,,3,,,,,2026-03-25,,48,,47,,,74,82,,,53,楠梓,,12,
70,,3,,,,,2026-03-25,,36,,43,,,59,70,,,52,林園,,19,
84,,3,,,,,2026-03-25,,38,,64,,,68,84,,,51,大寮,,6,
86,,6,,,,,2026-03-25,,48,,,,,63,86,,,50,鳳山,,12,
90,,3,,,,,2026-03-25,,51,,48,,,69,90,,,49,仁武,,12,
91,,3,,,,,2026-03-25,,45,,45,,,71,91,,,48,橋頭,,12,
84,,3,,,,,2026-03-25,,21,,84,,,52,62,,,47,美濃,,6,
81,,3,,,,,2026-03-25,,48,,58,,,69,81,,,46,臺南,,6,
93,,5,,,,,2026-03-25,,53,,61,,,81,93,,,45,安南,,12,
89,,3,,,,,2026-03-25,,50,,61,,,77,89,,,44,善化,,19,
88,,3,,,,,2026-03-25,,51,,49,,,74,88,,,43,新營,,12,
92,,6,,,,,2026-03-25,,52,,48,,,72,92,,,42,嘉義,,25,
85,,3,,,,,2026-03-25,,31,,,,,69,85,,,41,臺西,,12,
86,,3,,,,,2026-03-25,,31,,51,,,70,86,,,40,朴子,,12,
91,,3,,,,,2026-03-25,,31,,49,,,84,91,,,39,新港,,12,
105,,5,,,,,2026-03-25,,40,,48,,,83,105,,,38,崙背,,19,
92,,5,,,,,2026-03-25,,36,,87,,,73,92,,,37,斗六,,25,
81,,5,,,,,2026-03-25,,45,,80,,,58,81,,,36,南投,,6,
104,,6,,,,,2026-03-25,,40,,51,,,101,104,,,35,二林,,19,
84,,6,,,,,2026-03-25,,53,,,,,73,84,,,34,線西,,31,
73,,6,,,,,2026-03-25,,50,,49,,,59,73,,,33,彰化,,6,
75,,5,,,,,2026-03-25,,57,,58,,,63,75,,,32,西屯,,6,
73,,5,,,,,2026-03-25,,53,,58,,,60,73,,,31,忠明,,6,
76,,6,,,,,2026-03-25,,51,,61,,,62,76,,,30,大里,,6,
69,,5,,,,,2026-03-25,,55,,58,,,57,69,,,29,沙鹿,,6,
84,,3,,,,,2026-03-25,,26,,84,,,42,59,,,28,豐原,,6,
77,,3,,,,,2026-03-25,,29,,77,,,38,53,,,27,三義,,6,
66,,5,,,,,2026-03-25,,48,,58,,,45,66,,,26,苗栗,,25,
68,,5,,,,,2026-03-25,,48,,,,,54,68,,,25,頭份,,12,
63,,5,,,,,2026-03-25,,52,,48,,,52,63,,,24,新竹,,12,
71,,3,,,,,2026-03-25,,31,,71,,,38,58,,,23,竹東,,6,
70,,5,,,,,2026-03-25,,53,,46,,,50,70,,,22,湖口,,12,
80,,3,,,,,2026-03-25,,52,,44,,,57,80,,,21,龍潭,,6,
78,,5,,,,,2026-03-25,,54,,40,,,62,78,,,20,平鎮,,6,
64,,3,,,,,2026-03-25,,48,,47,,,40,64,,,19,觀音,,12,
69,,3,,,,,2026-03-25,,52,,43,,,47,69,,,18,大園,,12,
73,,5,,,,,2026-03-25,,40,,46,,,51,73,,,17,桃園,,6,
64,,7,,,,,2026-03-25,,57,,,,,40,64,,,16,大同,,6,
72,,3,,,,,2026-03-25,,50,,43,,,48,72,,,15,松山,,19,
69,,3,,,,,2026-03-25,,50,,43,,,52,69,,,14,古亭,,12,
71,,3,,,,,2026-03-25,,54,,43,,,47,71,,,13,萬華,,19,
73,,6,,,,,2026-03-25,,55,,41,,,53,73,,,12,中山,,6,
59,,3,,,,,2026-03-25,,24,,47,,,43,59,,,11,士林,,19,
59,,5,,,,,2026-03-25,,48,,43,,,37,59,,,10,淡水,,6,
56,,3,,,,,2026-03-25,,40,,44,,,38,56,,,9,林口,,12,
62,,5,,,,,2026-03-25,,52,,46,,,45,62,,,8,菜寮,,6,
67,,3,,,,,2026-03-25,,52,,48,,,55,67,,,7,新莊,,6,
73,,5,,,,,2026-03-25,,43,,44,,,51,73,,,6,板橋,,12,
64,,5,,,,,2026-03-25,,50,,45,,,52,64,,,5,土城,,12,
68,,3,,,,,2026-03-25,,43,,44,,,47,68,,,4,新店,,19,
71,,3,,,,,2026-03-25,,53,,44,,,47,71,,,2,汐止,,31,
59,,3,,,,,2026-03-25,,52,,49,,,37,59,,,1,基隆,,6,
59,,5,,,,,2025-12-31,,51,,,,,55,59,,,140,林森,,12,
36,,2,,,,,2025-12-31,,29,,36,,,18,36,,,139,員林,,12,
52,,1,,,,,2025-12-31,,17,,43,,,43,52,,,85,大城,,6,
68,,1,,,,,2025-12-31,,2,,49,,,68,54,,,84,富貴角,,0,
55,,2,,,,,2025-12-31,,26,,,,,55,43,,,83,麥寮,,12,
37,,1,,,,,2025-12-31,,19,,37,,,13,17,,,80,關山,,6,
57,,2,,,,,2025-12-31,,17,,46,,,57,57,,,78,馬公,,6,
76,,3,,,,,2025-12-31,,38,,46,,,63,76,,,77,金門,,19,
72,,2,,,,,2025-12-31,,12,,47,,,67,72,,,75,馬祖,,6,
45,,3,,,,,2025-12-31,,38,,40,,,33,45,,,72,埔里,,6,
79,,6,,,,,2025-12-31,,55,,,,,64,79,,,71,復興,,12,
62,,11,,,,,2025-12-31,,62,,,,,17,35,,,70,永和,,6,
46,,2,,,,,2025-12-31,,43,,42,,,37,46,,,69,竹山,,6,
55,,5,,,,,2025-12-31,,55,,,,,32,48,,,68,中壢,,6,
66,,14,,,,,2025-12-31,,66,,,,,27,44,,,67,三重,,6,
50,,2,,,,,2025-12-31,,50,,37,,,7,15,,,66,冬山,,0,
33,,2,,,,,2025-12-31,,33,,31,,,5,15,,,65,宜蘭,,0,
43,,1,,,,,2025-12-31,,2,,43,,,12,2,,,64,陽明,,6,
43,,2,,,,,2025-12-31,,17,,43,,,15,10,,,63,花蓮,,6,
45,,2,,,,,2025-12-31,,10,,45,,,25,17,,,62,臺東,,19,
48,,1,,,,,2025-12-31,,0,,48,,,8,12,,,61,恆春,,6,
75,,3,,,,,2025-12-31,,31,,67,,,65,75,,,60,潮州,,6,
62,,3,,,,,2025-12-31,,33,,49,,,58,62,,,59,屏東,,6,
77,,5,,,,,2025-12-31,,54,,49,,,69,77,,,58,小港,,12,
73,,6,,,,,2025-12-31,,53,,,,,70,73,,,57,前鎮,,53,
70,,3,,,,,2025-12-31,,50,,47,,,64,70,,,56,前金,,6,
68,,3,,,,,2025-12-31,,51,,41,,,63,68,,,54,左營,,12,
70,,3,,,,,2025-12-31,,48,,42,,,68,70,,,53,楠梓,,12,
77,,5,,,,,2025-12-31,,55,,45,,,77,77,,,52,林園,,31,
